"contrast","estimate","SE","df","t.ratio","p.value"
"Year2017 - Year2018",1.5029469890876,0.156755104025299,2064.13214063291,9.58786636283969,5.88685766800268e-11
"Year2017 - Year2019",0.43607475512237,0.14481494549664,2064.06683268951,3.01125518244585,0.0656312760790666
"Year2017 - Year2020",2.26222829698007,0.145996583687233,2064.03959119923,15.4950769384194,5.69028157926255e-11
"Year2017 - Year2021",2.05661295447316,0.146774063901902,2064.03915962345,14.0121006382143,5.72505376439381e-11
"Year2017 - Year2022",2.74816117468773,0.146123848703567,2064.03674651121,18.8070681074297,5.68837199566019e-11
"Year2017 - Year2023",0.348399986940331,0.19928938683744,2064.38415616616,1.7482114450205,0.716312153220128
"Year2017 - Year2024",0.927597132386857,0.191170611997727,2064.59540419835,4.85219523384634,4.60260904575627e-05
"Year2017 - Year2025",1.39704418359403,0.192632531655306,2064.37968298011,7.25237929226764,7.87858667194996e-11
"Year2018 - Year2019",-1.06687223396523,0.126671440819445,2064.30499891124,-8.42235808690239,5.72273339827234e-11
"Year2018 - Year2020",0.759281307892469,0.128048863085887,2064.28557284869,5.92962162720016,1.27415084261173e-07
"Year2018 - Year2021",0.553665965385551,0.129025336055497,2064.33403648864,4.29114143246569,0.000627592837616597
"Year2018 - Year2022",1.24521418560013,0.12832543578505,2064.36411657381,9.70356483094988,5.83064707626590e-11
"Year2018 - Year2023",-1.15454700214727,0.186000252452555,2064.29999837509,-6.20723352212533,2.34087889072754e-08
"Year2018 - Year2024",-0.575349856700747,0.177279265672982,2064.53394148975,-3.24544359159331,0.0325551989990197
"Year2018 - Year2025",-0.105902805493574,0.178891032040298,2064.3108227146,-0.591996168202089,0.999648006382469
"Year2019 - Year2020",1.8261535418577,0.112807369318665,2064.04844634567,16.1882468573403,5.86242165923068e-11
"Year2019 - Year2021",1.62053819935079,0.113779667087054,2064.03015006739,14.2427750127876,5.6071924880996e-11
"Year2019 - Year2022",2.31208641956536,0.112954856103461,2064.03915066433,20.469119251036,5.72505376439381e-11
"Year2019 - Year2023",-0.0876747681820396,0.176202429419998,2064.37005648363,-0.497579792007617,0.999904783791764
"Year2019 - Year2024",0.491522377264487,0.166925292198323,2064.6302835579,2.94456502541576,0.079058497584319
"Year2019 - Year2025",0.96096942847166,0.168656612864349,2064.3767294138,5.69778683534083,4.96862569421275e-07
"Year2020 - Year2021",-0.205615342506917,0.115318240032758,2064.01388358727,-1.78302532581584,0.69359231425175
"Year2020 - Year2022",0.485932877707661,0.114541676958297,2064.0432387937,4.24241106479157,0.000775373808408752
"Year2020 - Year2023",-1.91382831003974,0.177311065222406,2064.41210544905,-10.7936202833093,5.75669512059562e-11
"Year2020 - Year2024",-1.33463116459322,0.167871229105327,2064.58790021377,-7.95032699591323,5.65303359678637e-11
"Year2020 - Year2025",-0.865184113386042,0.169642207119748,2064.35279343333,-5.1000522103283,1.31152448826777e-05
"Year2021 - Year2022",0.691548220214578,0.11547955610909,2064.01052300124,5.98849046112799,8.94761008618516e-08
"Year2021 - Year2023",-1.70821296753282,0.177994843271303,2064.43096708048,-9.59698009300826,5.77141667790215e-11
"Year2021 - Year2024",-1.1290158220863,0.168733916299631,2064.6615731128,-6.69110186526721,1.08085262962021e-09
"Year2021 - Year2025",-0.659568770879125,0.170463683656921,2064.41603462431,-3.86926268827199,0.00359318491566485
"Year2022 - Year2023",-2.3997611877474,0.177574708370709,2064.48654836976,-13.5140933625391,5.99261751332847e-11
"Year2022 - Year2024",-1.82056404230088,0.168409488441342,2064.76631145701,-10.8103412649163,5.75509639944016e-11
"Year2022 - Year2025",-1.3511169910937,0.170084747745444,2064.49683406612,-7.94378690037418,5.82199843890407e-11
"Year2023 - Year2024",0.579197145446526,0.214565645567072,2064.14069539489,2.69939367001542,0.14850900451693
"Year2023 - Year2025",1.0486441966537,0.216216931541014,2064.10860460717,4.8499633640152,4.65372460357605e-05
"Year2024 - Year2025",0.469447051207173,0.208030245974079,2064.02930907697,2.25662883302877,0.369374662180572
