"","contrast","Year","estimate","SE","df","t.ratio","p.value"
"1","River - Suisun Bay","2017",0.697035321687721,0.189763630380581,1427.03391990071,3.67317657387656,0.00072608531725582
"2","River - Suisun Marsh","2017",0.480190918834695,0.235501624631234,1427.04220683354,2.03901318976722,0.103359899929466
"3","Suisun Bay - Suisun Marsh","2017",-0.216844402853026,0.235563279640034,1427.08251977551,-0.920535675952498,0.627377026510583
"4","River - Suisun Bay","2018",0.212041147679923,0.16536718283663,1427.05580314809,1.28224442143036,0.405428234779263
"5","River - Suisun Marsh","2018",0.669060128246398,0.188507479882699,1427.01896583491,3.54924976272946,0.00116015430733507
"6","Suisun Bay - Suisun Marsh","2018",0.457018980566475,0.187971228462317,1427.01390791178,2.43132411436091,0.0401824594366168
"7","River - Suisun Bay","2019",-0.0969037573335972,0.133311926962726,1427.04810419861,-0.726894881361154,0.747570798003033
"8","River - Suisun Marsh","2019",0.111691549685255,0.139154617889684,1427.08105138036,0.802643501014103,0.701441355362318
"9","Suisun Bay - Suisun Marsh","2019",0.208595307018853,0.141309053255276,1427.12643714619,1.47616378578394,0.302704475076868
"10","River - Suisun Bay","2020",-0.117407189164347,0.137654930323155,1427.01257454362,-0.852909437306205,0.670090262568427
"11","River - Suisun Marsh","2020",0.147946430388143,0.142932977188067,1427.00355690296,1.03507555288294,0.554815311872628
"12","Suisun Bay - Suisun Marsh","2020",0.26535361955249,0.150058417749324,1427.01623632315,1.76833544916999,0.180680074476049
"13","River - Suisun Bay","2021",-0.049893597215508,0.139883693300847,1427.01989297978,-0.356679152788753,0.932284014497188
"14","River - Suisun Marsh","2021",0.382312020609968,0.140409983316857,1427.01831913121,2.72282647984667,0.0179817516110474
"15","Suisun Bay - Suisun Marsh","2021",0.432205617825476,0.153452415340206,1427.01243132354,2.8165449000413,0.013634520304507
"16","River - Suisun Bay","2022",-0.318335382137295,0.149544466907896,1427.02629365203,-2.12870050440153,0.0844587062842761
"17","River - Suisun Marsh","2022",0.0353089137158806,0.146728387096743,1427.05900149793,0.240641326566209,0.968582257619224
"18","Suisun Bay - Suisun Marsh","2022",0.353644295853175,0.158674054902738,1427.07733099572,2.22874682360609,0.0667619087715309
"19","River - Suisun Bay","2023",0.617815426564697,0.394933328570495,1427.00001551465,1.56435373231464,0.261533420843372
"20","River - Suisun Marsh","2023",0.702099034379943,0.369493950205162,1427.02683246685,1.90016381591661,0.138978504205383
"21","Suisun Bay - Suisun Marsh","2023",0.084283607815246,0.369493950205162,1427.02683246685,0.228105515038737,0.971724373272658
