program,station,longitude,latitude,location,alias,station_group,distance_smscg_m,region,active,date_start,date_end
EMP,EMP_NZ028,-122.047222,38.117222,Grizzly Bay SE of Dolphin near Suisun Slough,EMP_D7,602,23213.15675,BAY,1,2020,NA
EMP,EMP_NZ032,-122.020833,38.170278,Montezuma Slough 2nd bend from mouth,EMP_NZ032,606,21440.9359,MAR,1,2020,NA
EMP,EMP_NZ048,-121.9958333,38.06,"Suisun Bay channel, off Middle Point (upstrm of light 19)",EMP_D8,NZ048,,BAY,1,2020,NA
EMP,EMP_NZ054,-121.906389,38.045833,"Sacramento River at mouth of Mallard Slough, near Chipps Island",EMP_D10,508,,RIV,1,2020,NA
EMP,EMP_NZ060,-121.828889,38.064444,Sacramento River abover Point Sacramento (bet. Lights 5 and 9),EMP_D4,801,7180.252445,RIV,1,2020,NA
EMP,EMP_NZ064,-121.738056,38.084722,Sacramento River at Emmaton (upstrm of lights 13 and 14),EMP_D22,706,15749.93089,RIV,1,2020,NA
EMP,EMP_NZ068,-121.6895,38.14272,Sacramento River below Rio Vista Bridge near United States Coast Guard station,EMP_NZ068,NZ068,,RIV,1,2020,NA
EMP,EMP_NZ074,-121.8036111,38.02222222,San Joaquin River at Antioch Ship Canal (bet. lights 7 and 8),EMP_D12,804,,RIV,1,2020,NA
EMP,EMP_NZS42,-122.0472222,38.18055556,Suisun Slough at mouth of Volanti Slough,EMP_NZS42,NZS42,23982.41212,MAR,1,2020,NA
FMWT,FMWT_519,-121.94725,38.07378,Honker Bay - 2200 yards N. of Simmons Point,NA,519,12926.81653,BAY,1,2022,NA
FMWT,FMWT_602,-122.04183,38.11783,Grizzly Bay - 2500 yds NE. at 20 from Garnet Point,NA,602,22952.74655,BAY,1,2021,NA
FMWT,FMWT_605,-122.05738,38.14853,West end of Montezuma Slough near Joice Island,NA,605,25824.46745,MAR,1,2020,NA
FMWT,FMWT_606,-122.02177,38.1698,West end of Montezuma Slough - at overhead power cables,NA,606,21547.00192,MAR,1,2020,NA
FMWT,FMWT_704,-121.77892,38.07087,Sacramento River - 1300 yards upstream of Lights 11 and 12,NA,704,11778.12382,RIV,1,2020,NA
FMWT,FMWT_706,-121.74,38.0903,Sacramento River - upstream of Lights 15 and 16,NA,706,15875.18086,RIV,1,2020,NA
FMWT,FMWT_802,-121.83875,38.03528,San Joaquin River - 500 yards N. of Point Beenar,NA,801,8392.227669,RIV,1,2020,NA
STN,STN_519,-121.9596944,38.07230556,"Honker Bay,W end at Dolphin",NA,519,13976.58055,BAY,1,2022,NA
STN,STN_602,-122.0461944,38.114,Grizzly Bay NE of Suisun Slough at Dolphin,NA,602,22929.38299,BAY,1,2021,NA
STN,STN_606,-122.0220091,38.16775731,Montezuma Slough off Joice Island at PG&E cable cr,NA,606,21653.06794,MAR,1,2020,NA
STN,STN_609,-121.938,38.16719444,Montezuma Slough at Nurse Slough,NA,609,12560.43272,MAR,1,2020,NA
STN,STN_610,-121.8891944,38.11880556,Montezuma Slough at road from Bird's Landing,NA,610,3283.609954,MAR,1,2020,NA
STN,STN_704,-121.7750077,38.06776131,Sacramento River N side across from Sherman Lake,NA,704,12082.30343,RIV,1,2020,NA
STN,STN_706,-121.7390041,38.09005982,Sacramento River below S tip of Decker Island,NA,706,15936.81994,RIV,1,2020,NA
STN,STN_801,-121.847,38.05561111,San Joaquin River -1km upstream of the mouth,NA,801,6147.064037,RIV,1,2020,NA
STN,STN_MONT,-121.90889,38.14387,"Montezuma Slough, midway between STN 609 and STN 610",NA,MONT,8981.895878,MAR,1,2020,NA
