Date,Flashboards,Gate1,Gate2,Gate3,Remark,Operating
11/1/1988,IN,OP,OP,OP,full bore operation,Operating normally
11/2/1988,IN,OP,OP,OP,full bore operation,Operating normally
11/3/1988,IN,OP,OP,OP,full bore operation,Operating normally
11/4/1988,IN,OP,OP,OP,full bore operation,Operating normally
11/5/1988,IN,OP,OP,OP,full bore operation,Operating normally
11/6/1988,IN,OP,OP,OP,full bore operation,Operating normally
11/7/1988,IN,OP,OP,OP,full bore operation,Operating normally
11/8/1988,IN,OP,OP,OP,full bore operation,Operating normally
11/9/1988,IN,OP,OP,OP,full bore operation,Operating normally
11/10/1988,IN,OP,OP,OP,full bore operation,Operating normally
11/11/1988,IN,OP,OP,OP,full bore operation,Operating normally
11/12/1988,IN,OP,OP,OP,full bore operation,Operating normally
11/13/1988,IN,OP,OP,OP,full bore operation,Operating normally
11/14/1988,IN,OP,OP,OP,full bore operation,Operating normally
11/15/1988,IN,OP,OP,OP,full bore operation,Operating normally
11/16/1988,IN,OP,OP,OP,full bore operation,Operating normally
11/17/1988,IN,OP,OP,OP,full bore operation,Operating normally
11/18/1988,IN,OP,OP,OP,full bore operation,Operating normally
11/19/1988,IN,OP,OP,OP,full bore operation,Operating normally
11/20/1988,IN,OP,OP,OP,full bore operation,Operating normally
11/21/1988,IN,OP,OP,OP,full bore operation,Operating normally
11/22/1988,IN,OP,OP,OP,full bore operation,Operating normally
11/23/1988,IN,OP,OP,OP,full bore operation,Operating normally
11/24/1988,IN,OP,OP,OP,full bore operation,Operating normally
11/25/1988,IN,OP,OP,OP,full bore operation,Operating normally
11/26/1988,IN,OP,OP,OP,full bore operation,Operating normally
11/27/1988,IN,OP,OP,OP,full bore operation,Operating normally
11/28/1988,IN,OP,OP,OP,full bore operation,Operating normally
11/29/1988,IN,OP,OP,OP,full bore operation,Operating normally
11/30/1988,IN,OP,OP,OP,full bore operation,Operating normally
12/1/1988,IN,OP,OP,OP,full bore operation,Operating normally
12/2/1988,IN,OP,OP,OP,full bore operation,Operating normally
12/3/1988,IN,OP,OP,OP,full bore operation,Operating normally
12/4/1988,IN,OP,OP,OP,full bore operation,Operating normally
12/5/1988,IN,OP,OP,OP,full bore operation,Operating normally
12/6/1988,IN,OP,OP,OP,full bore operation,Operating normally
12/7/1988,IN,OP,OP,OP,full bore operation,Operating normally
12/8/1988,IN,OP,OP,OP,full bore operation,Operating normally
12/9/1988,IN,OP,OP,OP,full bore operation,Operating normally
12/10/1988,IN,OP,OP,OP,full bore operation,Operating normally
12/11/1988,IN,OP,OP,OP,full bore operation,Operating normally
12/12/1988,IN,OP,OP,OP,full bore operation,Operating normally
12/13/1988,IN,OP,OP,OP,full bore operation,Operating normally
12/14/1988,IN,OP,OP,OP,full bore operation,Operating normally
12/15/1988,IN,OP,OP,OP,full bore operation,Operating normally
12/16/1988,IN,OP,OP,OP,full bore operation,Operating normally
12/17/1988,IN,OP,OP,OP,full bore operation,Operating normally
12/18/1988,IN,OP,OP,OP,full bore operation,Operating normally
12/19/1988,IN,OP,OP,OP,full bore operation,Operating normally
12/20/1988,IN,OP,OP,OP,full bore operation,Operating normally
12/21/1988,IN,OP,OP,OP,full bore operation,Operating normally
12/22/1988,IN,OP,OP,OP,full bore operation,Operating normally
12/23/1988,IN,OP,OP,OP,full bore operation,Operating normally
12/24/1988,IN,OP,OP,OP,full bore operation,Operating normally
12/25/1988,IN,OP,OP,OP,full bore operation,Operating normally
12/26/1988,IN,OP,OP,OP,full bore operation,Operating normally
12/27/1988,IN,OP,OP,OP,full bore operation,Operating normally
12/28/1988,IN,OP,OP,OP,full bore operation,Operating normally
12/29/1988,IN,OP,OP,OP,full bore operation,Operating normally
12/30/1988,IN,OP,OP,OP,full bore operation,Operating normally
12/31/1988,IN,OP,OP,OP,full bore operation,Operating normally
1/1/1989,IN,OP,OP,OP,full bore operation,Operating normally
1/2/1989,IN,OP,OP,OP,full bore operation,Operating normally
1/3/1989,IN,OP,OP,OP,full bore operation,Operating normally
1/4/1989,IN,OP,OP,OP,full bore operation,Operating normally
1/5/1989,IN,OP,OP,OP,full bore operation,Operating normally
1/6/1989,IN,OP,OP,OP,full bore operation,Operating normally
1/7/1989,IN,OP,OP,OP,full bore operation,Operating normally
1/8/1989,IN,OP,OP,OP,full bore operation,Operating normally
1/9/1989,IN,OP,OP,OP,full bore operation,Operating normally
1/10/1989,IN,OP,OP,OP,full bore operation,Operating normally
1/11/1989,IN,OP,OP,OP,full bore operation,Operating normally
1/12/1989,IN,OP,OP,OP,full bore operation,Operating normally
1/13/1989,IN,OP,OP,OP,full bore operation,Operating normally
1/14/1989,IN,OP,OP,OP,full bore operation,Operating normally
1/15/1989,IN,OP,OP,OP,full bore operation,Operating normally
1/16/1989,IN,OP,OP,OP,full bore operation,Operating normally
1/17/1989,IN,OP,OP,OP,full bore operation,Operating normally
1/18/1989,IN,OP,OP,OP,full bore operation,Operating normally
1/19/1989,IN,OP,OP,OP,full bore operation,Operating normally
1/20/1989,IN,OP,OP,OP,full bore operation,Operating normally
1/21/1989,IN,OP,OP,OP,full bore operation,Operating normally
1/22/1989,IN,OP,OP,OP,full bore operation,Operating normally
1/23/1989,IN,OP,OP,OP,full bore operation,Operating normally
1/24/1989,IN,OP,OP,OP,full bore operation,Operating normally
1/25/1989,IN,OP,OP,OP,full bore operation,Operating normally
1/26/1989,IN,OP,OP,OP,full bore operation,Operating normally
1/27/1989,IN,OP,OP,OP,full bore operation,Operating normally
1/28/1989,IN,OP,OP,OP,full bore operation,Operating normally
1/29/1989,IN,OP,OP,OP,full bore operation,Operating normally
1/30/1989,IN,OP,OP,OP,full bore operation,Operating normally
