station,collected_by,latitude,longitude,date,time_pst,taxon_original,taxon,units_per_ml,cells_per_ml,biovolume_per_ml,gald_um,phyto_form,quality_check,debris
EMP_D8,EMP,38.05992,-121.99,2018-07-10,12:40:00,NA,cf. Cyclotella sp.,919.94,919.94,83834.13,5.6,i,Good,Unknown
EMP_D8,EMP,38.05992,-121.99,2018-07-10,12:40:00,NA,Cryptomonas sp.,919.94,919.94,379898.42,14.8,i,Good,Unknown
EMP_D8,EMP,38.05992,-121.99,2018-07-10,12:40:00,NA,Eucapsis microscopica,378095.34,767229.96,138101.39,0.8,c,Good,Unknown
EMP_D10,EMP,38.04631,-121.9183,2018-07-10,13:25:00,NA,cf. Cyclotella sp.,574.96,574.96,52396.1,5.6,i,Good,Unknown
EMP_D10,EMP,38.04631,-121.9183,2018-07-10,13:25:00,NA,cf. Plagioselmis sp.,574.96,574.96,326410.54,11.1,i,Good,Unknown
EMP_D10,EMP,38.04631,-121.9183,2018-07-10,13:25:00,NA,Eucapsis microscopica,259306.96,523788.56,94281.94,0.8,c,Good,Unknown
EMP_EZ6,EMP,38.0594,-121.8665,2018-07-10,14:10:00,NA,Chroococcus minutus,766.62,766.62,39066.96,4.6,i,Good,Unknown
EMP_EZ6,EMP,38.0594,-121.8665,2018-07-10,14:10:00,NA,Eucapsis microscopica,316614.06,637827.84,114809.01,0.8,c,Good,Unknown
EMP_EZ2,EMP,38.0662,-121.7871,2018-07-10,14:55:00,NA,cf. Cyclotella sp.,919.94,919.94,112950.23,6.5,i,Good,Unknown
EMP_EZ2,EMP,38.0662,-121.7871,2018-07-10,14:55:00,NA,cf. Navicula sp.,919.94,919.94,1566299.04,31.5,i,Good,Unknown
EMP_EZ2,EMP,38.0662,-121.7871,2018-07-10,14:55:00,NA,Chlorella sp.,2759.82,2759.82,22575.33,2.5,i,Good,Unknown
EMP_EZ2,EMP,38.0662,-121.7871,2018-07-10,14:55:00,NA,Eucapsis microscopica,600720.82,1211560.98,218080.98,0.8,c,Good,Unknown
EMP_D7,EMP,38.11714,-122.0397,2018-07-11,14:15:00,NA,cf. Chlorella sp.,985.65,985.65,8062.62,2.8,i,Good,Unknown
EMP_D7,EMP,38.11714,-122.0397,2018-07-11,14:15:00,NA,Eucapsis microscopica,135362.6,276310.55,49735.9,0.8,c,Good,Unknown
EMP_NZS42,EMP,38.18045,-122.0476,2018-07-11,15:05:00,NA,cf. Chlorella sp.,3603.44,3603.44,15098.41,2,i,Good,Unknown
EMP_NZS42,EMP,38.18045,-122.0476,2018-07-11,15:05:00,NA,Eucapsis microscopica,417098.18,805368.84,144966.39,0.8,c,Good,Unknown
EMP_NZ032,EMP,38.16991,-122.0211,2018-07-11,16:00:00,NA,Chlorella sp.,1971.3,1971.3,10999.85,2.8,i,Good,Unknown
EMP_NZ032,EMP,38.16991,-122.0211,2018-07-11,16:00:00,NA,Eucapsis microscopica,261525.8,529622.6,95332.07,0.8,c,Good,Unknown
EMP_D4,EMP,38.06248,-121.8205,2018-07-18,07:40:00,NA,cf. Cyclotella sp.,1533.24,1533.24,188251.21,7.4,i,Good,Unknown
EMP_D4,EMP,38.06248,-121.8205,2018-07-18,07:40:00,NA,Dolichospermum sp.,766.62,30664.8,110086.63,1.9,f,Good,Unknown
EMP_D4,EMP,38.06248,-121.8205,2018-07-18,07:40:00,NA,Eucapsis microscopica,325046.88,662359.68,119224.74,0.8,c,Good,Unknown
EMP_D22,EMP,38.08453,-121.7391,2018-07-18,08:25:00,NA,cf. Cyclotella sp.,900.86,900.86,82095.37,5.6,i,Good,Unknown
EMP_D22,EMP,38.08453,-121.7391,2018-07-18,08:25:00,NA,Nitzschia sp.,1351.29,1351.29,35133.54,13,i,Good,Unknown
EMP_D22,EMP,38.08453,-121.7391,2018-07-18,08:25:00,NA,Eucapsis microscopica,237376.61,474753.22,85455.58,0.8,c,Good,Unknown
EMP_NZ068,EMP,38.14272,-121.6895,2018-07-18,09:15:00,NA,Cocconeis sp.,300.29,300.29,110371.59,14.8,i,Good,Unknown
EMP_NZ068,EMP,38.14272,-121.6895,2018-07-18,09:15:00,NA,Nitzschia sp.,600.58,600.58,20059.37,16.7,i,Good,Unknown
EMP_NZ068,EMP,38.14272,-121.6895,2018-07-18,09:15:00,NA,Ulnaria sp.,600.58,600.58,60051.99,9.3,i,BrokenDiatoms,Unknown
EMP_NZ068,EMP,38.14272,-121.6895,2018-07-18,09:15:00,NA,cf. Chlorella sp.,900.87,900.87,3774.65,2,i,Good,Unknown
EMP_NZ068,EMP,38.14272,-121.6895,2018-07-18,09:15:00,Plagioselmis prolonga,Teleaulax amphioxeia,300.29,300.29,47785.15,7.4,i,Good,Unknown
EMP_NZ068,EMP,38.14272,-121.6895,2018-07-18,09:15:00,NA,Eucapsis microscopica,122218.03,269960.71,48592.93,0.8,c,Good,Unknown
EMP_D4,EMP,38.06248,-121.8205,2018-08-02,06:50:00,NA,cf. Cyclotella sp.,1801.72,1801.72,164190.74,5.6,i,Good,Unknown
EMP_D4,EMP,38.06248,-121.8205,2018-08-02,06:50:00,NA,Eucapsis microscopica,422503.34,815278.3,146750.09,0.8,c,Good,Unknown
EMP_D22,EMP,38.08453,-121.7391,2018-08-02,07:40:00,NA,cf. Cyclotella sp.,766.62,766.62,30496.14,3.7,i,Good,Unknown
EMP_D22,EMP,38.08453,-121.7391,2018-08-02,07:40:00,NA,Chlorella sp.,3066.48,3066.48,22201.32,2.8,i,Good,Unknown
EMP_D22,EMP,38.08453,-121.7391,2018-08-02,07:40:00,NA,Monoraphidium tortile,766.62,766.62,16083.69,11.1,i,Good,Unknown
EMP_D22,EMP,38.08453,-121.7391,2018-08-02,07:40:00,Plagioselmis prolonga,Teleaulax amphioxeia,766.62,766.62,58531.44,5.6,i,Good,Unknown
EMP_D22,EMP,38.08453,-121.7391,2018-08-02,07:40:00,NA,Eucapsis microscopica,338846.04,681525.18,122674.53,0.8,c,Good,Unknown
EMP_NZ068,EMP,38.14272,-121.6895,2018-08-02,08:35:00,NA,cf. Cyclotella sp.,321.74,321.74,174354.12,11.1,i,Good,Unknown
EMP_NZ068,EMP,38.14272,-121.6895,2018-08-02,08:35:00,NA,cf. Chlorella sp.,2573.92,2573.92,10784.72,2,i,Good,Unknown
EMP_NZ068,EMP,38.14272,-121.6895,2018-08-02,08:35:00,Plagioselmis prolonga,Teleaulax amphioxeia,321.74,321.74,55348.93,7.4,i,Good,Unknown
EMP_NZ068,EMP,38.14272,-121.6895,2018-08-02,08:35:00,NA,Eucapsis microscopica,137704.72,296322.54,53338.06,0.8,c,Good,Unknown
EMP_D8,EMP,38.05992,-121.99,2018-08-07,11:30:00,NA,Eucapsis microscopica,380855.16,776429.36,139757.28,0.8,c,Good,Unknown
EMP_D10,EMP,38.04631,-121.9183,2018-08-07,12:20:00,NA,cf. Cyclotella sp.,511.08,511.08,46574.72,5.6,i,Good,Unknown
EMP_D10,EMP,38.04631,-121.9183,2018-08-07,12:20:00,NA,Eucapsis microscopica,215675.76,435951.24,78471.22,0.8,c,Good,Unknown
EMP_EZ6,EMP,38.0622,-121.8586,2018-08-07,13:00:00,NA,cf. Cyclotella sp.,750.72,750.72,85056.58,5.6,i,Good,Unknown
EMP_EZ6,EMP,38.0622,-121.8586,2018-08-07,13:00:00,NA,cf. Chlorella sp.,1501.44,1501.44,8378.04,2.2,i,Good,Unknown
EMP_EZ6,EMP,38.0622,-121.8586,2018-08-07,13:00:00,NA,Eucapsis microscopica,312299.52,637361.28,114725.03,0.8,c,Good,Unknown
EMP_EZ6,EMP,38.0622,-121.8586,2018-08-07,13:00:00,NA,cf. Microcystis sp.,750.72,750.72,19909.09,3.7,i,Good,Unknown
EMP_EZ2,EMP,38.067,-121.7816,2018-08-07,13:40:00,NA,Cyclotella meneghiniana,900.86,900.86,669609.24,13,i,Good,Unknown
EMP_EZ2,EMP,38.067,-121.7816,2018-08-07,13:40:00,NA,cf. Chlorella sp.,900.86,900.86,5026.8,2.2,i,Good,Unknown
EMP_EZ2,EMP,38.067,-121.7816,2018-08-07,13:40:00,NA,Eucapsis microscopica,358542.28,733300.04,131994.01,0.8,c,Good,Unknown
EMP_D7,EMP,38.11714,-122.0397,2018-08-08,13:50:00,NA,Eucapsis microscopica,337824,665888.64,119859.96,0.8,c,Good,Unknown
EMP_NZS42,EMP,38.18045,-122.0476,2018-08-08,14:50:00,NA,Entomoneis sp.,1801.72,1801.72,6799655.25,33.3,i,Good,Unknown
EMP_NZS42,EMP,38.18045,-122.0476,2018-08-08,14:50:00,NA,Eucapsis microscopica,545921.16,1065717.38,191829.13,0.8,c,Good,Unknown
EMP_NZ032,EMP,38.16991,-122.0211,2018-08-08,15:50:00,NA,cf. Cyclotella sp.,1533.23,1533.23,139723.25,5.6,i,Good,Unknown
EMP_NZ032,EMP,38.16991,-122.0211,2018-08-08,15:50:00,NA,Eucapsis microscopica,624024.61,1271047.67,228788.58,0.8,c,Good,Unknown
EMP_D4,EMP,38.06248,-121.8205,2018-09-13,06:25:00,NA,Eucapsis microscopica,272831.28,539227.86,97061.01,0.8,c,Good,Unknown
EMP_EZ6,EMP,38.0648,-121.8327,2018-09-13,06:25:00,NA,Chlorella sp.,2299.86,2299.86,18812.85,2.8,i,Good,Unknown
EMP_EZ6,EMP,38.0648,-121.8327,2018-09-13,06:25:00,NA,Eucapsis microscopica,346512.24,706057.02,127090.26,0.8,c,Good,Unknown
EMP_D22,EMP,38.08453,-121.7391,2018-09-13,07:45:00,NA,cf. Chlorella sp.,5174.64,5174.64,32962.46,2.8,i,Good,Unknown
EMP_D22,EMP,38.08453,-121.7391,2018-09-13,07:45:00,Plagioselmis prolonga,Teleaulax amphioxeia,574.96,574.96,91493.38,7.4,i,Good,Unknown
EMP_D22,EMP,38.08453,-121.7391,2018-09-13,07:45:00,NA,Eucapsis microscopica,251832.48,508264.64,91487.64,0.8,c,Good,Unknown
EMP_EZ2,EMP,38.0864,-121.7468,2018-09-13,07:45:00,NA,Entomoneis sp.,459.97,459.97,1727900.3,37,i,Good,Unknown
EMP_EZ2,EMP,38.0864,-121.7468,2018-09-13,07:45:00,NA,Nitzschia sp.,459.97,459.97,43766.15,13.9,i,Good,Unknown
EMP_EZ2,EMP,38.0864,-121.7468,2018-09-13,07:45:00,NA,Chlorella sp.,2759.82,2759.82,19981.1,2.8,i,Good,Unknown
EMP_EZ2,EMP,38.0864,-121.7468,2018-09-13,07:45:00,NA,Plagioselmis nannoplanctica,459.97,459.97,155184.68,9.3,i,Good,Unknown
EMP_EZ2,EMP,38.0864,-121.7468,2018-09-13,07:45:00,Plagioselmis prolonga,Teleaulax amphioxeia,459.97,459.97,35118.71,5.6,i,Good,Unknown
EMP_EZ2,EMP,38.0864,-121.7468,2018-09-13,07:45:00,NA,Eucapsis microscopica,188127.73,379935.22,68388.34,0.8,c,Good,Unknown
EMP_NZ068,EMP,38.14272,-121.6895,2018-09-13,08:35:00,NA,cf. Cyclotella sp.,346.48,346.48,55135.36,7.4,i,Good,Unknown
EMP_NZ068,EMP,38.14272,-121.6895,2018-09-13,08:35:00,NA,Nitzschia sp.,346.48,346.48,27420.43,9.3,i,BrokenDiatoms,Unknown
EMP_NZ068,EMP,38.14272,-121.6895,2018-09-13,08:35:00,NA,cf. Ulnaria sp.,346.48,346.48,55135.36,14.8,i,BrokenDiatoms,Unknown
