station,collected_by,latitude,longitude,date,time_pst,taxon_original,taxon,algal_group,kingdom,phylum,class,genus,species,units_per_ml,cells_per_ml,biovolume_per_ml,gald_um,phyto_form,quality_check,debris
EMP_D8,EMP,38.05992,-121.99,2018-07-10,12:40:00,NA,cf. Cyclotella sp.,Centric Diatoms,Chromista,Heterokontophyta,Coscinodiscophyceae,Cyclotella,sp.,919.94,919.94,83834.13,5.6,i,Good,Unknown
EMP_D8,EMP,38.05992,-121.99,2018-07-10,12:40:00,NA,Cryptomonas sp.,Cryptophytes,Chromista,Cryptista,Cryptophyceae,Cryptomonas,sp.,919.94,919.94,379898.42,14.8,i,Good,Unknown
EMP_D8,EMP,38.05992,-121.99,2018-07-10,12:40:00,NA,Eucapsis microscopica,Cyanobacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Eucapsis,microscopica,378095.34,767229.96,138101.39,0.8,c,Good,Unknown
EMP_D10,EMP,38.04631,-121.9183,2018-07-10,13:25:00,NA,cf. Cyclotella sp.,Centric Diatoms,Chromista,Heterokontophyta,Coscinodiscophyceae,Cyclotella,sp.,574.96,574.96,52396.1,5.6,i,Good,Unknown
EMP_D10,EMP,38.04631,-121.9183,2018-07-10,13:25:00,NA,cf. Plagioselmis sp.,Cryptophytes,Chromista,Cryptista,Cryptophyceae,Plagioselmis,sp.,574.96,574.96,326410.54,11.1,i,Good,Unknown
EMP_D10,EMP,38.04631,-121.9183,2018-07-10,13:25:00,NA,Eucapsis microscopica,Cyanobacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Eucapsis,microscopica,259306.96,523788.56,94281.94,0.8,c,Good,Unknown
EMP_EZ6,EMP,38.0594,-121.8665,2018-07-10,14:11:00,NA,Chroococcus minutus,Cyanobacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Chroococcus,minutus,766.62,766.62,39066.96,4.6,i,Good,Unknown
EMP_EZ6,EMP,38.0594,-121.8665,2018-07-10,14:11:00,NA,Eucapsis microscopica,Cyanobacteria,Eubacteria,Cyanobacteria,Cyanophyceae,Eucapsis,microscopica,316614.06,637827.84,114809.01,0.8,c,Good,Unknown
EMP_EZ2,EMP,38.0662,-121.7871,2018-07-10,14:55:00,NA,cf. Cyclotella sp.,Centric Diatoms,Chromista,Heterokontophyta,Coscinodiscophyceae,Cyclotella,sp.,919.94,919.94,112950.23,6.5,i,Good,Unknown
EMP_EZ2,EMP,38.0662,-121.7871,2018-07-10,14:55:00,NA,cf. Navicula sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae,Navicula,sp.,919.94,919.94,1566299.04,31.5,i,Good,Unknown
