Year,Sept,Oct,Nov,Dec,Total
1967,94,157,31,126,408
1968,235,252,123,86,696
1969,148,78,55,32,313
1970,742,342,82,507,1673
1971,197,471,428,207,1303
1972,572,470,81,142,1265
1973,308,312,198,327,1145
1974,,,,,
1975,290,214,102,91,697
1976,69,42,121,127,359
1977,98,242,52,88,480
1978,167,65,31,309,572
1979,,,,,
1980,370,274,587,423,1654
1981,132,27,54,161,374
1982,45,47,79,162,333
1983,2,28,78,24,132
1984,47,44,67,24,182
1985,41,24,28,17,110
1986,92,15,34,71,212
1987,71,40,69,100,280
1988,58,67,19,30,174
1989,88,75,158,45,366
1990,109,50,188,17,364
1991,126,249,279,35,689
1992,72,3,57,24,156
1993,375,470,94,139,1078
1994,65,12,7,18,102
1995,120,349,352,78,899
1996,19,23,13,72,127
1997,15,109,71,108,303
1998,238,97,15,70,420
1999,198,380,114,172,864
2000,430,128,56,142,756
2001,75,481,17,30,603
2002,20,46,29,44,139
2003,15,136,17,42,210
2004,26,18,23,7,74
2005,3,9,7,7,26
2006,33,3,4,1,41
2007,9,4,5,10,28
2008,2,5,12,4,23
2009,1,3,3,10,17
2010,6,12,0,11,29
2011,50,54,23,216,343
2012,0,23,12,7,42
2013,4,3,2,9,18
2014,4,4,0,1,9
2015,5,0,0,2,7
2016,0,0,8,0,8
2017,0,2,0,0,2
2018,0,0,0,0,0
